year,age,males,females
1990,0,1958010,1870582
1990,5,1859167,1774224
1990,10,1754152,1670387
1990,15,1983406,1901289
1990,20,2279637,2241341
1990,25,2321331,2320630
1990,30,2038200,2046594
1990,35,1884271,1891685
1990,40,2050636,2054789
1990,45,1694076,1693154
1990,50,1544429,1547384
1990,55,1446617,1488162
1990,60,1397721,1507570
1990,65,1318734,1550148
1990,70,933786,1245662
1990,75,728098,1147125
1990,80,407545,826241
1990,85,156217,443077
1990,90,36701,155639
1990,95,5504,32339
1990,100,479,3693
2000,0,1819303,1731555
2000,5,1950362,1855855
2000,10,1974932,1883530
2000,15,1858249,1795521
2000,20,1764566,1759104
2000,25,2011148,2033572
2000,30,2275567,2310239
2000,35,2271559,2319894
2000,40,2023949,2057554
2000,45,1858117,1887408
2000,50,1989475,2018605
2000,55,1610838,1647554
2000,60,1418011,1472979
2000,65,1234288,1362191
2000,70,1056006,1282420
2000,75,824064,1175806
2000,80,437327,774913
2000,85,221613,527505
2000,90,64857,221714
2000,95,9612,51546
2000,100,690,6036
2010,0,1981141,1889754
2010,5,1789038,1706206
2010,10,1895010,1802114
2010,15,2038373,1954282
2010,20,2102598,2096018
2010,25,2130036,2149916
2010,30,2025428,2026234
2010,35,2126160,2162459
2010,40,2304842,2348326
2010,45,2265047,2317613
2010,50,1992557,2025197
2010,55,1780747,1826755
2010,60,1849246,1918098
2010,65,1426858,1523089
2010,70,1162821,1298154
2010,75,892566,1104718
2010,80,607783,880728
2010,85,320396,603227
2010,90,92894,243339
2010,95,17722,71337
2010,100,1485,9715
2020,0,1927938,1829322
2020,5,2116389,2013923
2020,10,2071497,1969703
2020,15,1894304,1795571
2020,20,2109626,1989195
2020,25,2285518,2198923
2020,30,2261316,2257339
2020,35,2183186,2226873
2020,40,2035329,2064739
2020,45,2121620,2174940
2020,50,2268570,2344626
2020,55,2208890,2288855
2020,60,1892734,1973323
2020,65,1630005,1738337
2020,70,1604336,1751937
2020,75,1119354,1294626
2020,80,759826,964815
2020,85,424305,632402
2020,90,167413,313703
2020,95,36884,99778
2020,100,3332,14160